,Setting,n_img,AbsRel,SqRel,RMSE,RMSE_log,delta1,delta2,delta3,SF,MG,GT_SF,GT_MG
0,NYU_100_FS3,2.0,0.5946220089211514,1.6413959803138731,0.9246751448703469,0.19901230437282347,0.6952584842572538,0.8008704183976357,0.8540149769174064,0.12109983644080818,0.03408456705539097,0.1461533103650863,0.04277437388475426
1,NYU_100_FS3,3.0,0.4119689445472707,1.051160956079294,0.6335630381781756,0.15301729117972998,0.8082063058020963,0.873177039120859,0.904207377687427,0.1265021315476763,0.03593431309503518,0.1461533103650863,0.04277437388475426
2,NYU_100_FS3,4.0,0.3318584384738442,0.8211181577163698,0.507558673198708,0.12863785111621615,0.855755024125361,0.9061273962451716,0.9292854523622297,0.12842547217959294,0.036478339725769256,0.1461533103650863,0.04277437388475426
3,NYU_100_FS3,5.0,0.29526774715689164,0.7283649509920402,0.44462811992438195,0.1152910349864957,0.8774745700089118,0.9244191151237634,0.9435210407053659,0.1273571212380122,0.035814091571769034,0.1461533103650863,0.04277437388475426
4,NYU_100_FS3,6.0,0.2719597767793576,0.6867315640209516,0.4141697593329514,0.10538645730202943,0.8958747003238865,0.9397010178923242,0.9547098982133632,0.12831838331000156,0.036315368311849935,0.1461533103650863,0.04277437388475426
5,NYU_100_FS3,7.0,0.26218636588845684,0.681190233093769,0.39607752678454466,0.10061301641445322,0.905437901775589,0.9461239026318268,0.9601770860886355,0.12860873474850568,0.03645593162329828,0.1461533103650863,0.04277437388475426
6,NYU_100_FS3,8.0,0.2536519613025841,0.6750665544785006,0.3791180723190125,0.09588324051458583,0.9140612596947848,0.9530612481843441,0.96602557503849,0.12796121246725412,0.03605640416719954,0.1461533103650863,0.04277437388475426
7,NYU_100_FS3,9.0,0.24777248517726905,0.6707395430332455,0.36909562059954404,0.09239495197590156,0.920895660278994,0.9593508884720846,0.9708122996562117,0.12816031007181614,0.03608856502271027,0.1461533103650863,0.04277437388475426
8,NYU_100_FS3,10.0,0.24980012662936607,0.6787963612717135,0.3703071884355231,0.09274513758747448,0.9215662678082784,0.9593755526280184,0.9707652584675255,0.1285667404623571,0.036272962067834466,0.1461533103650863,0.04277437388475426
9,NYU_100_FS5,2.0,0.5467424827032589,1.2437183433938601,0.8947300388953372,0.19135330948374868,0.6872118047213563,0.7982511464460551,0.8520393292547777,0.12469849497398834,0.03544453257091047,0.1461533103650863,0.04277437388475426
10,NYU_100_FS5,3.0,0.4198059169020196,1.0652014616697412,0.6535857459843524,0.15539705936600445,0.8036435280731565,0.872675442481798,0.9010996095813378,0.1277393799628322,0.03608417242127456,0.1461533103650863,0.04277437388475426
11,NYU_100_FS5,4.0,0.3493537273662398,0.9111280182575158,0.5437773402199286,0.13241122848359976,0.8560133252569069,0.9105296304685474,0.9269195039292358,0.12993598697473516,0.036945099794285924,0.1461533103650863,0.04277437388475426
12,NYU_100_FS5,5.0,0.3171645147535118,0.8763903401107086,0.47725677528398663,0.11970300756292332,0.8858142198179059,0.9274893848948887,0.9402149390281158,0.13081018377197992,0.037252526117961524,0.1461533103650863,0.04277437388475426
13,NYU_100_FS5,6.0,0.28370362094999363,0.8045351216083589,0.4179506210912167,0.10743986190487531,0.9093913756971694,0.9418829404250562,0.9518214093709211,0.13180976043190432,0.03761969957876643,0.1461533103650863,0.04277437388475426
14,NYU_100_FS5,7.0,0.2697042562594404,0.7689071797944864,0.39861769201262465,0.1021064207305283,0.9172060893854235,0.9480469658378432,0.9572779653816048,0.1323136465698025,0.03782489652879285,0.1461533103650863,0.04277437388475426
15,NYU_100_FS5,8.0,0.2661585738563437,0.7941977252034877,0.3845778815448284,0.09862135207588109,0.9227045054009201,0.952159036509123,0.9625185915362944,0.1329316256926694,0.03793693242155995,0.1461533103650863,0.04277437388475426
16,NYU_100_FS5,9.0,0.2634443960064276,0.8315470001762818,0.3679116288205717,0.09512724384056,0.9287961857216803,0.9559090851096932,0.9666758667256125,0.13337729928234665,0.03810335748433064,0.1461533103650863,0.04277437388475426
17,NYU_100_FS5,10.0,0.26319820263824606,0.8335703137910652,0.36664991608225606,0.09497312060770911,0.9291968006150803,0.9559099669212231,0.9666666334739883,0.13373237050819106,0.0382621490912062,0.1461533103650863,0.04277437388475426
18,NYU_100_FS7,2.0,0.5874951838968544,1.2645037534478654,1.0127337310429012,0.2043936632243227,0.6157497888906582,0.7661916004844147,0.8362302993415692,0.12738526614798684,0.036585084498726085,0.1461533103650863,0.04277437388475426
19,NYU_100_FS7,3.0,0.40852034757830863,0.9257399563753083,0.6581574240727891,0.155304976200702,0.7890426787876721,0.8639293808898738,0.8969286465034777,0.12862237711474073,0.0367127157098383,0.1461533103650863,0.04277437388475426
20,NYU_100_FS7,4.0,0.3509122808335708,0.8868392030202957,0.5572587060613916,0.13407415691449873,0.8597188227915344,0.9103021370781021,0.9235041830517831,0.12993361737112022,0.03697851008311233,0.1461533103650863,0.04277437388475426
21,NYU_100_FS7,5.0,0.3301749846809729,0.9288115148423296,0.5006523010995957,0.12335705999655233,0.8897033080996929,0.9264189716918388,0.9367765081585,0.13087654935156168,0.03734357914508574,0.1461533103650863,0.04277437388475426
22,NYU_100_FS7,6.0,0.29769018467014446,0.8731638992232675,0.44185878829147657,0.11108670128930918,0.9114130795320968,0.941440288991374,0.9495277811263315,0.13182225540872744,0.03768642433272498,0.1461533103650863,0.04277437388475426
23,NYU_100_FS7,7.0,0.27933462297925526,0.8179678292786603,0.4156074224364594,0.10477586466084243,0.9205316986421562,0.9483738498312253,0.9554519276462199,0.13230754355316132,0.037906520518642316,0.1461533103650863,0.04277437388475426
24,NYU_100_FS7,8.0,0.26202667349328596,0.774032763639089,0.38864101098696574,0.09853188276991522,0.9306257471487792,0.9550914336052874,0.9613075640496858,0.1328781686427032,0.03813805872864953,0.1461533103650863,0.04277437388475426
25,NYU_100_FS7,9.0,0.24925869416491064,0.756799662147509,0.3641044985878905,0.09322307027651379,0.9394749163305358,0.9611888588477348,0.9664487171154867,0.13324573736307455,0.03826868372886735,0.1461533103650863,0.04277437388475426
26,NYU_100_FS7,10.0,0.2487921066303091,0.7603381546094959,0.3609832242894519,0.09288431482107609,0.9404715019355127,0.9613195643603619,0.966487097767515,0.13348202062172626,0.03831795929426994,0.1461533103650863,0.04277437388475426
